-1.0967 -0.0537 0.5742
-0.1230 0.1250 0.8008
-0.9346 0.0068 0.3652
-0.8076 -0.0420 0.6680
-0.3008 0.0830 0.7061
-1.3115 -0.0273 0.3770
-1.1729 -0.1416 0.5967
-0.3887 0.0762 0.5889
-1.4189 -0.0840 0.3281
-0.6426 -0.0459 0.7285
-0.3350 0.1631 0.7480
-1.4424 -0.1074 0.4561
-0.2969 0.0566 0.7627
-0.8193 0.0645 0.3350
-0.8770 -0.0459 0.7666
-0.4424 0.1904 0.7217
-1.4463 -0.0771 0.3467
-0.5430 0.0107 0.8193
-0.9844 0.1250 0.5664
-1.4463 -0.1221 0.5361
-0.4082 0.0342 0.8047
-1.0576 0.0645 0.4531
-0.8887 -0.0537 0.6494
-0.2656 0.1025 0.7324
-1.2852 -0.0391 0.3320
-1.0889 -0.1191 0.6045
-0.3232 0.0801 0.6758
-1.3232 -0.0957 0.3428
-0.6123 -0.0498 0.7100
-0.4043 0.1221 0.6416
-1.2305 -0.0918 0.4756
-0.3623 0.0225 0.7930
-0.6465 0.0488 0.5703
-1.5117 -0.0957 0.4258
-0.1348 0.1631 0.8467
-0.7617 0.0381 0.3770
-1.0352 -0.0840 0.4795
-0.2539 0.2090 0.8350
-1.3115 -0.0576 0.4834
-0.9160 -0.0352 0.7783
-0.4160 0.1602 0.6914
-1.3115 -0.0840 0.4795
-0.2852 0.1221 0.8652
-0.9697 0.1143 0.5205
-1.1426 -0.0771 0.5811
-0.3389 0.1289 0.6758
-1.3154 -0.0693 0.4072
-0.6387 0.0645 0.8799
-0.5273 0.0381 0.5625
-1.2119 -0.1494 0.6270
-0.1465 0.1143 0.7324
-1.2344 -0.0039 0.4414
-0.9082 -0.0420 0.8086
-0.5967 0.0527 0.5283
-1.2920 -0.0996 0.4492
-0.2891 0.1289 0.8496
-1.2158 0.0186 0.4150
-1.1729 -0.0957 0.5928
-0.2393 0.2021 0.8535
-1.1152 0.0869 0.5059
-0.8506 -0.0391 0.7021
-0.4541 0.1484 0.6455
-1.4961 -0.0576 0.3623
-0.8848 -0.0234 0.8008
-0.7314 0.0762 0.5771
-1.5420 -0.0732 0.4258
-0.5430 0.0000 0.7822
-0.6924 0.0723 0.5439
-1.0459 -0.0693 0.5586
-0.2041 0.0645 0.7285
-0.9697 0.0527 0.4111
-1.3691 -0.0879 0.4531
-0.2461 0.0723 0.7021
-1.2656 -0.0313 0.3467
-1.1152 -0.0957 0.6152
-0.3154 0.1670 0.7861
-1.4268 -0.0811 0.2861
-0.8076 -0.0273 0.6680
-0.4160 0.1025 0.5742
-1.2080 -0.0771 0.4902
-0.2393 0.1143 0.8125
-0.6123 0.0869 0.5625
-1.2695 -0.0732 0.5166
-0.3047 0.0645 0.7520
-1.2656 -0.0234 0.3809
-1.0889 -0.0771 0.5771
-0.2813 0.0801 0.7402
-1.2852 -0.0654 0.4600
-0.5156 0.0605 0.8838
-0.4346 0.2285 0.6875
-1.4580 -0.0459 0.4414
-0.2695 0.0107 0.7100
-0.8154 0.0527 0.3926
-1.1191 -0.0771 0.5439
-0.2002 0.2246 0.9141
-1.4502 -0.0771 0.3164
-0.6123 -0.0459 0.7441
-0.2891 0.1104 0.6953
-1.3770 -0.1455 0.6230
-0.4238 0.0488 0.7822
-0.8232 0.0488 0.3584
-1.1543 -0.0420 0.6152
-0.4619 0.1748 0.6836
-1.4805 -0.0771 0.3164
-0.8389 -0.0313 0.6533
-0.4004 0.0947 0.6006
-1.2344 -0.0654 0.4795
-0.2432 0.1104 0.8271
-0.5811 0.1064 0.5469
-1.2578 -0.0957 0.4639
-0.2393 0.2363 0.8877
-1.1045 0.1025 0.5166
-1.1807 -0.0957 0.6953
-0.1387 0.1602 0.8535
-1.1465 -0.0273 0.4229
-0.9814 -0.0771 0.5811
-0.3311 0.0986 0.7256
-1.1689 0.0645 0.4678
-0.8613 -0.0234 0.7891
-0.2080 0.1221 0.7061
-1.2461 -0.0117 0.4336
-0.8613 -0.0156 0.7891
-0.3623 0.0947 0.6797
-1.1270 0.0684 0.5244
-1.2920 -0.0996 0.4492
-0.3467 0.1562 0.7480
-0.8115 0.0410 0.5400
-1.3770 -0.0771 0.4756
-0.3389 0.1221 0.8574
-1.1465 0.0566 0.4795
-0.8232 0.0264 0.6006
-0.8389 0.0410 0.6113
-0.6582 -0.0273 0.2861
-0.8154 0.0908 0.6113
-0.7314 0.0566 0.6309
-0.4736 0.1143 0.5928
-0.4502 0.0225 0.5742
-1.1885 0.0605 0.5771
-1.4697 -0.0537 0.3389
-0.5234 0.0645 0.7744
-0.4043 0.1250 0.5771
-1.1924 -0.0879 0.4453
-0.3076 0.0566 0.7666
-0.5850 0.0947 0.4863
-1.3691 -0.1035 0.4375
-0.1846 0.2129 0.9072
-1.1113 0.0723 0.4795
-1.1963 -0.0840 0.7100
-0.4775 0.1631 0.6836
-1.4766 -0.0576 0.3281
-0.7002 -0.0576 0.6494
-0.3311 0.1445 0.7139
-1.4121 -0.1074 0.4678
-0.1846 0.2129 0.8770
-1.1768 -0.0273 0.3691
-0.8809 -0.0498 0.6914
-0.6465 0.0947 0.5703
-1.3076 -0.0811 0.4336
-0.3926 0.0381 0.9678
-0.7734 0.0410 0.3350
-0.9502 -0.0117 0.7930
-0.4160 0.1445 0.6270
-1.3232 -0.0537 0.4072
-0.6621 0.1289 0.8574
-0.7500 0.0342 0.3242
-1.2305 -0.0576 0.6455
-0.2500 0.0723 0.7891
-1.1660 -0.0234 0.3730
-0.3154 0.1104 0.8877
-0.7197 0.0684 0.4492
-1.2422 -0.0996 0.6045
-0.5537 0.1143 0.5850
-1.4424 -0.1299 0.3848
-0.1885 0.0645 0.8125
-1.3965 -0.0352 0.2979
-0.3271 0.0186 0.8125
-1.1729 0.0186 0.3125
-0.7461 -0.0420 0.7588
-0.4502 0.0684 0.4834
-1.2080 -0.0811 0.6045
-0.3115 0.2090 0.8232
-1.3389 -0.0693 0.3955
-0.6006 -0.0391 0.8271
-1.1191 0.0342 0.3623
-0.9385 -0.0537 0.7744
-0.2354 0.0830 0.7285
-1.5156 -0.1113 0.3926
-0.2275 0.0869 0.7666
-1.4229 -0.0459 0.4072
-0.6270 0.0566 0.8691
-0.7158 0.0566 0.4072
-1.2500 -0.1377 0.6113
-0.2236 0.1631 0.7178
-1.3809 -0.0313 0.4297
-0.3232 0.1104 0.8877
-0.7383 0.0527 0.3652
-1.2344 -0.1074 0.6494
-0.3154 0.1982 0.8047
-1.4004 -0.1338 0.5508
-0.2041 0.2021 0.9404
-1.1504 -0.0195 0.3887
-0.7080 0.0723 0.8271
-1.0156 0.0566 0.3955
-1.0654 -0.0693 0.8350
-0.4385 0.2168 0.6074
-1.3076 -0.1221 0.6191
-0.3311 0.1943 0.7480
-1.5811 -0.0576 0.3770
-0.3887 0.0029 0.8389
-1.3574 -0.0654 0.2822
-0.5615 -0.0420 0.8193
-0.7813 0.1182 0.4297
-1.2959 -0.1416 0.6152
-0.4541 0.0947 0.5020
-1.4658 -0.1299 0.4072
-0.1777 0.2051 0.8389
-1.1729 -0.0195 0.3994
-0.3584 0.0830 0.9600
-0.9619 0.1064 0.4678
-1.0615 -0.0654 0.6152
-0.3311 0.1982 0.6875
-1.4805 -0.1221 0.4336
-0.1660 0.1904 0.9141
-1.2236 -0.0039 0.3125
-0.9736 -0.0391 0.7666
-0.7813 0.1328 0.5664
-1.2852 -0.0771 0.6494
-0.2461 0.0605 0.7559
-1.5498 -0.1113 0.3730
-0.4346 0.0527 0.9600
-0.9658 0.0986 0.4561
-1.1113 -0.0771 0.6113
-0.6191 0.1182 0.5771
-1.3428 -0.0654 0.4561
-0.2197 0.0605 0.7256
-1.1152 0.0225 0.3691
-0.6504 0.0801 0.8730
-0.5273 0.0801 0.5400
-1.4580 -0.1572 0.4492
-0.1963 0.2090 0.8770
-1.4268 -0.0313 0.3994
-0.3467 0.0527 0.8916
-0.8613 0.0986 0.4150
-0.9307 -0.0732 0.7061
-0.5234 0.1904 0.5928
-1.4385 -0.1299 0.5811
-0.2041 0.1943 0.9180
-1.4736 -0.0615 0.3926
-0.4199 0.0381 0.8613
-1.0811 0.0146 0.3428
-0.9121 -0.0918 0.6611
-0.6582 0.0986 0.4189
-1.0352 -0.0615 0.7021
-0.2041 0.1631 0.7363
-1.3848 -0.0879 0.4453
-0.1270 0.1904 0.9072
-1.4150 -0.0498 0.3809
-0.3047 0.0566 0.8652
-0.7891 0.0723 0.3467
-0.8389 -0.0879 0.6572
-0.4961 0.2441 0.6270
-1.3350 -0.0732 0.4561
-0.1162 0.1289 0.7822
-1.3809 -0.0537 0.3320
-0.5537 -0.0352 0.8164
-0.8428 0.1445 0.5098
-1.0195 -0.0576 0.8086
-0.2695 0.1406 0.6953
-1.5850 -0.1035 0.3730
-0.3584 0.0723 0.9336
-1.1689 -0.0195 0.3887
-0.7578 -0.0811 0.7480
-0.4893 0.2168 0.6416
-1.3574 -0.0879 0.4717
-0.1465 0.1826 0.8994
-1.3232 -0.0391 0.3994
-0.3926 0.0107 0.8164
-0.7236 0.0801 0.3623
-0.7236 -0.0195 0.8496
-0.4814 0.0684 0.5098
-1.4805 -0.1338 0.5586
-0.1816 0.2051 0.8613
-1.3389 -0.0459 0.3955
-0.5117 -0.0273 0.8086
-0.7500 0.1602 0.5205
-1.2578 -0.0732 0.4453
-0.3467 0.1904 0.6758
-1.3926 -0.0420 0.4258
-0.4658 -0.0078 0.8389
-1.1270 0.0107 0.3770
-0.9307 -0.0420 0.7891
-0.2500 0.1670 0.7100
-1.3652 -0.0811 0.4414
-0.1270 0.1523 0.8350
-1.3652 -0.0732 0.3018
-0.6230 -0.0117 0.8535
-0.8271 0.1445 0.5742
-1.0078 -0.0352 0.7666
-0.2656 0.1602 0.6758
-1.5420 -0.1074 0.3955
-0.3350 0.1104 0.9219
-1.1660 -0.0117 0.3652
-0.7119 -0.0732 0.7402
-0.5771 0.1709 0.6006
-1.3506 -0.0840 0.4902
-0.1309 0.1904 0.8994
-1.3193 -0.0693 0.3994
-0.5352 -0.0078 0.8086
-0.8506 0.1523 0.5664
-0.9502 -0.0537 0.7666
-0.2461 0.1328 0.7100
-1.5459 -0.1035 0.3994
-0.4043 0.0449 0.9785
-1.2422 -0.0420 0.4111
-0.6660 -0.0576 0.7520
-0.5313 0.2129 0.6416
-1.3574 -0.0996 0.4150
-0.2695 0.0947 0.7627
-1.1660 -0.0195 0.3994
-0.9307 -0.0615 0.7520
-0.7383 0.1445 0.5361
-1.2041 -0.0693 0.4678
-0.1699 0.1748 0.8652
-1.2197 -0.0078 0.3320
-0.6270 -0.0156 0.7891
-0.5156 0.0645 0.5400
-1.4229 -0.1416 0.6152
-0.1816 0.0947 0.7559
-1.4189 -0.0313 0.4336
-0.7656 -0.0420 0.6650
-0.3389 0.1865 0.6650
-1.5996 -0.0996 0.3994
-0.1816 0.2207 0.8193
-1.2119 -0.0234 0.3320
-0.8652 -0.0537 0.7559
-0.3965 0.1865 0.6797
-1.3887 -0.1611 0.6006
-0.1426 0.1406 0.8535
-1.1465 0.0449 0.3809
-0.8613 -0.0498 0.6797
-0.6006 0.0908 0.5811
-1.3613 -0.1152 0.5439
-0.1660 0.1104 0.8232
-1.1074 0.0645 0.4336
-0.5654 0.0566 0.8955
-0.6465 0.1406 0.6270
-1.3232 -0.0771 0.4414
-0.2461 0.0830 0.7217
-1.2383 -0.0313 0.4150
-0.8467 -0.0313 0.6719
-0.3008 0.1631 0.7256
-1.2578 -0.0840 0.4336
-0.1963 0.2168 0.9102
-1.2275 0.0000 0.3203
-0.8809 -0.0498 0.7861
-0.5469 0.0986 0.4795
-1.3076 -0.0693 0.4941
-0.4385 0.0264 0.8311
-0.7656 0.0527 0.4336
-0.9229 -0.0391 0.7256
-0.3584 0.1143 0.6494
-1.3311 -0.0654 0.4336
-0.2314 0.0488 0.7402
-1.0967 0.0723 0.4229
-1.1387 -0.0811 0.5967
-0.1465 0.1367 0.7559
-1.4961 -0.1074 0.4258
-0.3389 0.1182 0.9746
-0.8584 0.0527 0.3125
-1.2891 -0.0879 0.6875
-0.2695 0.1143 0.7021
-1.5850 -0.0840 0.4111
-0.3232 0.0947 0.9297
-0.7197 0.0410 0.3809
-0.8584 -0.0732 0.6836
-0.3350 0.1826 0.6914
-1.5078 -0.1221 0.4297
-0.2432 0.0947 0.8047
-1.4229 -0.0420 0.3691
-0.6270 0.0488 0.8652
-0.5000 0.1064 0.4941
-1.1309 -0.1152 0.6006
-0.3506 0.1826 0.7061
-1.3574 -0.0615 0.4297
-0.5469 -0.0391 0.8311
-1.1152 0.0303 0.3955
-0.9160 -0.0459 0.7520
-0.2969 0.0947 0.6045
-1.4424 -0.0195 0.4258
-0.1162 0.1289 0.8193
-1.0928 0.0605 0.4229
-1.0313 -0.0840 0.6074
-0.3623 0.2129 0.8008
-1.3154 -0.0654 0.4492
-0.3584 0.0566 0.9639
-0.8545 0.0449 0.3320
-0.9658 -0.0498 0.7744
-0.2930 0.1143 0.6152
-1.3848 -0.0537 0.4492
-0.6152 0.0488 0.8311
-0.7998 0.0488 0.3281
-1.1465 -0.0537 0.6113
-0.2002 0.2246 0.9072
-1.1465 0.0410 0.4072
-0.5117 -0.0156 0.7744
-0.3584 0.1523 0.6953
-1.2500 -0.0459 0.4258
-0.5430 0.0605 0.8613
-0.9658 0.1104 0.5244
-1.4082 -0.1338 0.5703
-0.4199 0.0684 0.9336
-0.8232 0.0264 0.6152
-0.8652 0.0342 0.6074
-0.7998 -0.0459 0.5166
-0.7656 0.0225 0.6650
-0.9424 0.0225 0.5283
-0.9307 0.1445 0.7363
-0.6846 -0.0537 0.6533
-1.2275 -0.0234 0.4414
-0.8389 -0.0771 0.5586
-0.2236 0.0986 0.7021
-0.8232 0.0947 0.5967
-1.1621 -0.1113 0.6309
-0.1963 0.1865 0.8271
-0.7656 0.0410 0.4033
-1.2813 -0.0840 0.4258
-0.3232 0.0869 0.7256
-1.2773 -0.0039 0.3623
-1.0313 -0.0879 0.6113
-0.1846 0.0947 0.7178
-1.5771 -0.0615 0.4336
-0.3467 0.0410 0.8350
-0.7002 0.1025 0.6045
-1.4229 -0.1221 0.6348
-0.1777 0.0947 0.7178
-1.2080 -0.0391 0.4531
-0.9541 -0.0156 0.7705
-0.4922 0.1826 0.6113
-1.2578 -0.1035 0.4795
-0.4043 0.0723 0.9141
-0.8730 0.0645 0.3350
-1.1006 -0.1074 0.5889
-0.3770 0.2246 0.7627
-1.5000 -0.0498 0.3506
-0.5693 -0.0537 0.7402
-0.4199 0.1787 0.7061
-1.2041 -0.1035 0.4561
-0.1309 0.1328 0.8164
-0.8311 0.0723 0.4600
-0.9658 -0.0156 0.7520
-0.4580 0.1748 0.6494
-1.4922 -0.0771 0.3164
-0.7695 -0.0537 0.6758
-0.5928 0.1250 0.5322
-1.2617 -0.0459 0.4678
-0.2656 0.1289 0.9219
-0.7422 0.1143 0.6074
-1.2002 -0.0918 0.5850
-0.2578 0.1670 0.8086
-1.2461 -0.0117 0.3691
-1.1309 -0.1074 0.6113
-0.4346 0.1904 0.6953
-1.4121 -0.0391 0.4717
-0.6348 0.1025 0.8574
-0.6504 0.1445 0.5811
-1.1885 -0.0879 0.6270
-0.2314 0.2168 0.7930
-1.2119 -0.0156 0.3428
-0.5771 0.0605 0.9072
-0.5430 0.1787 0.5967
-1.5498 -0.1074 0.3994
-0.2969 0.0830 0.8428
-1.2197 -0.0234 0.3848
-1.0195 -0.0840 0.6074
-0.1504 0.1182 0.7178
-1.2539 -0.0313 0.4863
-0.3389 0.0605 0.8467
-0.6543 0.1143 0.5625
-1.2998 -0.0654 0.5361
-0.3623 0.0908 0.9297
-1.2500 0.0029 0.3887
-0.9199 -0.0811 0.6309
-0.2158 0.1289 0.6953
-1.1621 -0.0537 0.3623
-0.5576 0.0645 0.8574
-0.4619 0.1787 0.6875
-1.4385 -0.0420 0.4531
-0.2080 0.0947 0.7559
-0.7119 0.0264 0.4072
-1.1465 -0.0771 0.6455
-0.2080 0.2051 0.9102
-1.4307 -0.0537 0.3389
-0.5273 -0.0313 0.7588
-0.3047 0.1631 0.6982
-1.2461 -0.0732 0.4033
-0.2578 0.1143 0.8730
-0.5850 0.1025 0.5586
-1.3652 -0.1221 0.4678
-0.4775 0.0000 0.7666
-0.7930 0.0488 0.3350
-1.4229 -0.1074 0.4492
-0.3467 0.1064 0.9219
-1.2119 0.0381 0.4531
-1.1729 -0.0918 0.6191
-0.1777 0.2129 0.8877
-0.8545 0.0264 0.3086
-0.8887 -0.0576 0.5811
-0.3008 0.1484 0.7100
-1.1807 0.0801 0.4941
-1.0850 -0.0615 0.5771
-0.1924 0.1367 0.7705
-1.1963 -0.0352 0.3955
-1.1689 -0.0537 0.6416
-0.2236 0.2168 0.8467
-1.2305 -0.0156 0.4189
-0.7930 -0.0156 0.7061
-0.2734 0.0801 0.7256
-1.2305 0.0381 0.4414
-0.9004 -0.0195 0.7139
-0.2354 0.1367 0.7861
-1.2158 -0.0313 0.3652
-1.1465 -0.0654 0.6152
-0.5430 0.1562 0.7100
-1.1309 -0.0615 0.3887
-1.0000 -0.0996 0.6074
-0.2852 0.1826 0.7861
-1.5039 -0.0811 0.3926
-0.8506 -0.0352 0.7891
-0.2500 0.1064 0.7061
-1.2119 -0.0840 0.3955
-0.9502 -0.0234 0.7744
-0.2236 0.1484 0.7627
-1.2119 -0.0195 0.3848
-0.4463 -0.0195 0.7666
-0.5967 0.1748 0.6836
-1.2275 -0.0420 0.4297
-0.7656 -0.0273 0.6572
-0.4199 0.1484 0.7520
-1.2080 -0.0615 0.4336
-0.5195 -0.0195 0.7559
-0.4238 0.1143 0.5889
-1.3154 -0.0811 0.4678
-0.5313 0.0186 0.7666
-0.6963 0.1328 0.6113
-1.4619 -0.0957 0.4492
-0.3193 0.0449 0.7139
-0.9385 0.0684 0.4336
-1.4502 -0.1113 0.4678
-0.4619 0.0527 0.9141
-1.2158 -0.0273 0.3506
-0.9229 -0.0771 0.6270
-0.1885 0.1221 0.6719
-1.1729 -0.0273 0.3926
-0.5850 0.0723 0.8770
-0.4199 0.1602 0.6797
-1.3613 -0.0537 0.4756
-0.4463 0.0527 0.7930
-0.9043 0.0684 0.3994
-1.3154 -0.1035 0.4072
-0.3271 0.0410 0.7256
-1.1387 -0.0498 0.3809
-0.8389 -0.0391 0.7285
-0.2891 0.2129 0.8955
-1.5039 -0.0498 0.4297
-0.3008 0.0723 0.8311
-0.6309 0.0947 0.5742
-1.3535 -0.1455 0.6152
-0.3115 0.0488 0.7480
-1.2773 -0.0313 0.4492
-0.9814 -0.0459 0.7324
-0.3662 0.1250 0.6113
-1.3271 -0.0840 0.4561
-0.4463 0.0449 0.7969
-0.8154 0.0449 0.3428
-1.1309 -0.0840 0.5547
-0.1846 0.2021 0.9072
-1.3965 -0.0811 0.3623
-0.5195 0.0225 0.8428
-0.4580 0.2285 0.6758
-1.2891 -0.0957 0.4150
-0.2354 0.0801 0.7520
-0.8506 0.0488 0.3389
-1.0967 -0.0732 0.4678
-0.3115 0.1943 0.8574
-1.5000 -0.0498 0.4072
-0.8506 -0.0459 0.6611
-0.3389 0.0986 0.6270
-1.3350 -0.1074 0.6074
-0.3193 0.0303 0.7217
-0.8652 0.0986 0.4492
-1.2041 -0.0654 0.6348
-0.3154 0.1182 0.6719
-1.2959 -0.0498 0.4375
-0.6191 0.0684 0.8770
-0.8037 0.0723 0.5059
-1.2119 -0.0811 0.6074
-0.2539 0.1182 0.7705
-1.2041 -0.0313 0.3623
-0.6230 0.0684 0.8770
-0.6807 0.1143 0.6230
-1.4619 -0.1260 0.4072
-0.3809 0.0488 0.8350
-1.1387 0.0869 0.4941
-1.2080 -0.0879 0.6113
-0.2432 0.1064 0.7666
-1.1465 -0.0352 0.3281
-0.6152 0.0107 0.7861
-0.5469 0.0986 0.5205
-1.2959 -0.0654 0.4980
-0.2930 0.0146 0.7402
-1.4502 -0.0352 0.4033
-0.5850 -0.0459 0.7969
-0.4502 0.1943 0.6045
-1.1729 -0.0840 0.5625
-0.1885 0.1943 0.8730
-1.1689 -0.0313 0.3242
-1.0039 -0.0234 0.7861
-0.6768 0.1250 0.6074
-1.4697 -0.1152 0.4600
-0.1426 0.1631 0.8838
-1.1729 0.0645 0.4258
-0.6045 0.0381 0.8877
-0.6309 0.1904 0.6270
-1.5381 -0.1191 0.4189
-0.3584 0.0488 0.8008
-1.1846 0.0605 0.4756
-1.1543 -0.1113 0.6045
-0.2119 0.1406 0.7139
-1.1582 -0.0195 0.3652
-0.3809 0.0381 0.8164
-0.8428 0.1367 0.5508
-1.1885 -0.0840 0.4258
-0.3965 0.1562 0.7139
-1.2852 -0.0879 0.3467
-0.6123 0.0762 0.8428
-0.6465 0.0986 0.5625
-1.2080 -0.1152 0.6836
-0.2432 0.1328 0.7705
-1.2119 -0.0313 0.3623
-0.8037 -0.0234 0.7324
-0.6924 0.1182 0.6416
-1.4736 -0.1113 0.4150
-0.3311 0.0830 0.8428
-0.5195 0.0762 0.5322
-1.1504 -0.0879 0.6230
-0.2578 0.2051 0.8086
-1.2158 0.0410 0.4111
-0.5195 0.0029 0.8574
-0.3730 0.1670 0.6758
-1.3691 -0.0420 0.4834
-0.4697 0.0566 0.8350
-0.8506 0.1025 0.5625
-1.2383 -0.0693 0.4941
-0.3047 0.1064 0.9072
-0.6504 0.1064 0.5322
-1.1807 -0.0459 0.6348
-0.2578 0.2090 0.8877
-1.1006 0.0830 0.4795
-1.1348 -0.0537 0.6377
-0.5156 0.2021 0.7480
-1.3467 -0.0352 0.5098
-0.7354 -0.0195 0.7324
-0.2500 0.0908 0.7178
-1.2041 -0.0459 0.4756
-0.4814 -0.0039 0.7441
-0.3809 0.1104 0.6152
-1.2500 -0.0771 0.4717
-0.4502 0.0186 0.7559
-0.6807 0.1367 0.6494
-1.3652 -0.0459 0.4600
-0.4658 0.0303 0.9180
-1.0352 0.0908 0.4756
-1.4463 -0.1035 0.4717
-0.4082 0.0146 0.7969
-1.1660 -0.0273 0.3730
-0.8691 -0.0352 0.7061
-0.1738 0.1904 0.8271
-1.4922 -0.0693 0.3730
-0.2969 0.1025 0.8877
-0.8965 0.1064 0.5586
-1.3652 -0.1299 0.4033
-0.1201 0.1484 0.8232
-1.5381 -0.0498 0.3652
-0.5732 -0.0313 0.7822
-0.4199 0.2168 0.7178
-1.2119 -0.0957 0.4453
-0.1738 0.1709 0.8877
-1.1504 0.0723 0.4561
-1.0654 -0.1074 0.6270
-0.5771 0.1865 0.6309
-1.5156 -0.1377 0.4492
-0.3584 0.0449 0.8311
-0.8271 0.0225 0.6152
-0.7773 0.0068 0.6074
-0.8730 0.1602 0.8428
-0.8115 -0.0039 0.4980
-0.7930 0.0146 0.7100
-1.1729 -0.0234 0.5205
-0.9736 -0.0840 0.4639
-0.9121 -0.0732 0.4902
-0.3506 0.0605 0.7666
-0.9385 0.0605 0.5361
-1.3574 -0.0771 0.4492
-0.3848 0.1104 0.8535
-1.2461 -0.0156 0.4111
-1.1348 -0.1074 0.6074
-0.2734 0.2246 0.7744
-1.1113 0.0801 0.5020
-0.8887 -0.0195 0.7627
-0.4277 0.2021 0.7969
-1.2695 -0.0654 0.4492
-0.7578 -0.0195 0.7402
-0.5967 0.1826 0.6074
-1.3574 -0.0459 0.4717
-0.5313 0.0908 0.8691
-0.3008 0.1250 0.6914
-1.2002 -0.0957 0.5361
-0.2656 0.0830 0.8232
-0.6924 0.0303 0.5742
-1.0234 -0.0576 0.5625
-0.3271 0.0488 0.6914
-1.0498 0.0830 0.5469
-1.1768 -0.0879 0.5059
-0.2197 0.2090 0.8574
-0.9658 0.0801 0.5400
-1.0459 -0.0840 0.5771
-0.1123 0.1143 0.7441
-1.1426 -0.0273 0.4189
-0.7891 -0.0498 0.7217
-0.3047 0.2021 0.8574
-1.4619 -0.0273 0.2861
-0.3691 0.1104 0.9219
-0.8770 0.0410 0.3994
-1.1074 -0.0771 0.5771
-0.1699 0.2051 0.8691
-1.5039 -0.0498 0.3545
-0.6543 -0.0391 0.7217
-0.2969 0.1250 0.7061
-1.4502 -0.1191 0.4600
-0.3193 0.0488 0.6953
-0.8506 0.0762 0.3691
-1.2305 -0.0732 0.6533
-0.3047 0.1025 0.5508
-1.3848 -0.0615 0.4795
-0.6270 0.0449 0.8428
-0.5615 0.0488 0.5137
-1.2119 -0.1338 0.5967
-0.1699 0.1143 0.7441
-1.2119 -0.0498 0.4297
-0.8926 -0.0537 0.7441
-0.5771 0.0986 0.5283
-1.3574 -0.1260 0.6045
-0.2852 0.0107 0.7588
-0.8887 0.0869 0.4600
-0.8584 -0.0459 0.6650
-0.3232 0.0947 0.6377
-1.3232 -0.0693 0.4678
-0.4238 0.0225 0.7822
-0.8584 0.0684 0.3350
-1.0928 -0.0840 0.5547
-0.1924 0.2090 0.9102
-1.4922 -0.0537 0.2861
-0.5430 0.0000 0.8125
-0.3506 0.1865 0.6758
-1.4121 -0.0195 0.4150
-0.3506 0.0225 0.7217
-0.9199 0.0381 0.3887
-1.0967 -0.0420 0.4902
-0.1846 0.2051 0.8535
-1.4922 -0.0420 0.3320
-0.6543 -0.0459 0.7324
-0.3008 0.1445 0.6953
-1.4004 -0.0195 0.4414
-0.1660 0.1025 0.7666
-0.9814 0.0723 0.4902
-1.1885 -0.1260 0.6006
-0.2813 0.0684 0.7021
-1.3574 -0.0537 0.4678
-0.6123 0.1221 0.8574
-0.6807 0.1367 0.5889
-1.0615 -0.0811 0.5889
-0.1543 0.1709 0.8799
-1.0352 0.0869 0.4756
-1.1924 -0.1338 0.6416
-0.3350 0.1562 0.7402
-1.4805 -0.0537 0.4531
-0.4922 -0.0156 0.8047
-0.5508 0.0947 0.5361
-1.1729 -0.1113 0.6494
-0.1426 0.1328 0.7178
-1.3848 -0.0273 0.4717
-0.8232 -0.0615 0.6611
-0.8506 0.1289 0.5771
-1.2578 -0.0840 0.4756
-0.2041 0.2324 0.9561
-1.2578 -0.0117 0.3545
-0.5850 0.1221 0.8691
-0.5889 0.0645 0.5508
-1.2998 -0.0811 0.4678
-0.1924 0.0723 0.7666
-1.2080 -0.0391 0.4336
-0.9004 -0.0273 0.7285
-0.3887 0.1250 0.6348
-1.2998 -0.0811 0.5625
-0.3389 0.0107 0.7324
-0.7852 0.0723 0.5020
-1.2080 -0.1113 0.6875
-0.3506 0.1064 0.6270
-1.2734 -0.0771 0.4492
-0.6006 0.1250 0.8691
-0.7080 0.1670 0.5850
-1.0889 -0.0840 0.5928
-0.1123 0.1064 0.7930
-0.8350 0.0303 0.3809
-1.1309 -0.0615 0.6006
-0.4004 0.1631 0.6416
-1.3154 -0.1035 0.3652
-0.5273 0.0801 0.8799
-0.9229 0.0488 0.3730
-1.2578 -0.0840 0.6533
-0.2197 0.0723 0.7783
-1.2656 -0.0459 0.4639
-0.3047 0.1143 0.9102
-0.8271 0.0723 0.3428
-1.2734 -0.1113 0.6152
-0.1582 0.2051 0.8730
-1.3193 -0.0654 0.4414
-0.1426 0.0801 0.8389
-1.1846 -0.0078 0.3428
-0.7197 -0.0391 0.8047
-0.7041 0.0605 0.4717
-1.2080 -0.1035 0.5850
-0.3115 0.2246 0.8164
-1.3809 -0.0811 0.4453
-0.1162 0.1104 0.8770
-1.1807 0.0225 0.3848
-0.9463 -0.0732 0.6719
-0.6348 0.1484 0.5928
-1.3652 -0.0693 0.4258
-0.3154 0.1143 0.8955
-0.9346 0.1367 0.5967
-1.0195 -0.0840 0.6045
-0.1738 0.1367 0.6875
-1.1885 -0.0391 0.4336
-0.8311 -0.0576 0.6719
-0.9502 0.1445 0.5508
-1.1768 -0.0811 0.5742
-0.1816 0.1943 0.8652
-1.1885 -0.0195 0.3428
-0.4160 -0.0352 0.8164
